@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
17,1117,0,86,1
124,857,10,139,0
77,784,1,141,1
72,1185,0,75,0
59,193,30,100,1
31,1232,1,148,1
18,369,0,54,0
97,258,8,35,1
84,1203,1,194,1
45,1140,7,176,1
18,1253,26,188,0
114,173,14,66,0
49,723,0,84,1
35,152,24,63,1
7,186,33,59,1
56,1458,21,259,1
45,249,7,37,1
43,648,10,135,0
18,219,9,107,1
66,1206,25,216,1
20,873,1,82,1
33,903,0,90,1
54,125,20,60,1
64,546,0,58,0
43,1175,0,148,1
71,401,6,76,0
22,1379,52,168,1
63,628,0,80,1
48,515,8,84,1
24,365,4,20,1
295,124,1,26,0
37,742,1,154,1
108,1377,0,169,1
113,611,1,138,1
306,248,10,105,1
78,578,21,67,1
42,1196,5,177,1
16,265,0,37,0
93,963,0,106,1
23,533,22,57,0
39,947,6,156,1
147,808,12,115,1
57,679,2,81,0
69,605,20,92,0
77,203,5,115,1
93,431,3,79,0
28,1355,0,230,0
210,859,15,62,1
65,191,0,46,1
29,308,1,69,1
108,280,0,54,1
95,1177,1,75,0
47,741,0,154,1
45,314,7,78,0
7,358,4,117,0
48,358,2,71,1
50,128,0,27,0
58,544,2,67,1
52,606,0,72,1
45,326,0,63,1
21,582,1,81,0
65,917,1,58,0
48,559,9,62,1
27,661,2,77,1
2,322,0,70,0
49,277,28,82,0
3,1161,0,199,1
68,1253,6,243,1
79,264,1,20,1
23,652,23,128,1
76,1193,24,208,0
103,201,0,99,0
95,1284,2,188,1
51,347,0,23,1
33,204,1,105,1
145,605,2,127,1
39,820,1,146,0
64,853,21,147,0
66,95,1,26,1
23,363,1,72,1
103,456,1,57,1
13,101,0,31,1
8,1117,0,86,1
62,671,2,72,0
12,723,5,134,0
82,918,6,160,1
95,345,0,111,1
51,905,1,81,1
17,713,0,120,0
65,331,0,36,1
94,966,0,118,0
14,482,1,54,0
44,934,0,142,1
32,721,8,120,1
19,634,12,134,1
27,0,0,9,1
72,1033,0,60,1
22,326,1,73,1
22,686,9,135,1
21,362,0,126,1
37,419,4,82,0
62,937,5,121,1
35,1346,0,243,0
7,186,33,59,1
104,322,0,36,1
865,173,28,58,1
15,741,0,154,1
44,1166,3,169,1
61,288,35,108,1
42,395,0,73,1
36,1116,3,177,0
33,0,3,26,1
69,275,10,34,1
61,880,2,136,1
24,405,4,73,0
202,207,0,19,1
48,0,0,26,1
