@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
49,134,0,235,0,1000
0,485,2,801,6,90
52,141,0,255,0,1000
0,370,3,593,1,365
0,124,0,307,0,180
0,114,3,243,2,365
0,700,12,933,102,365
0,122,13,205,43,1000
0,416,1,583,21,180
0,392,1,623,1,90
0,666,0,957,11,90
0,81,0,155,0,1000
0,97,88,215,0,365
0,461,1,797,3,180
0,268,0,538,0,180
0,86,0,179,0,365
0,654,34,868,143,1000
0,699,0,971,8,365
0,383,1,548,20,180
0,698,1,969,8,90
0,848,0,1102,1,7
0,268,0,545,0,180
0,640,0,928,2,90
0,326,0,534,1,90
0,639,0,946,2,90
0,606,0,852,22,90
0,82,0,173,0,1000
0,31,0,74,0,1000
0,138,0,244,0,1000
0,491,3,829,3,180
0,759,3,1052,225,365
0,486,2,803,3,180
0,242,0,486,0,1000
33,710,0,972,5,90
0,499,0,832,3,90
0,111,0,229,0,1000
0,126,0,215,1,90
0,473,0,799,6,90
48,113,0,197,1,1000
0,157,19,311,6,90
0,283,0,500,22,180
0,104,0,205,0,365
0,424,0,618,4,180
0,468,1,814,3,180
0,799,0,1082,1,365
0,126,0,197,0,365
0,752,0,1028,2,30
55,145,0,243,0,1000
0,515,1,803,3,180
0,89,0,205,0,1000
0,460,1,781,3,180
0,165,0,337,0,180
0,122,6,323,0,180
0,755,0,1030,1,365
0,155,50,308,45,180
0,557,1,802,28,365
0,467,1,818,3,180
0,526,3,817,4,365
0,124,0,294,2,365
0,467,1,777,6,90
0,99,0,177,1,1000
0,785,0,1045,207,365
0,147,0,256,0,1000
0,276,0,491,1,90
0,497,2,854,0,180
0,561,0,799,4,180
0,104,0,232,0,365
0,107,0,234,0,1000
0,766,0,1039,1,365
0,264,12,533,128,1000
0,168,0,310,39,1000
0,124,0,305,0,180
0,146,0,252,0,1000
0,612,1,844,22,90
0,127,0,220,1,90
0,126,0,187,0,365
0,161,9,420,0,90
0,435,0,621,4,1000
0,126,1,319,0,90
0,441,0,638,4,180
0,383,1,552,20,180
0,667,0,904,65,365
0,108,0,203,0,1000
0,86,0,173,0,1000
0,120,0,213,0,1000
0,606,0,873,33,365
0,99,2,233,0,365
0,372,0,589,1,365
0,301,0,506,12,180
12,386,0,558,1,1000
0,128,0,258,0,1000
0,754,2,1029,1,30
0,652,47,879,134,180
0,480,0,782,3,180
0,125,0,302,0,180
0,589,12,847,15,365
0,53,0,146,0,1000
0,403,1,570,21,180
0,131,0,249,0,1000
0,609,0,905,2,90
0,621,0,918,2,90
0,146,0,320,0,1000
0,707,6,999,3,90
0,528,1,813,4,180
0,496,2,834,3,90
0,604,2,846,22,90
0,754,9,966,241,90
0,127,87,204,49,1000
0,116,13,221,30,365
0,498,3,838,0,180
0,137,0,207,0,1000
0,499,3,840,0,180
0,699,9,957,6,365
0,41,0,120,0,1000
0,617,8,856,14,90
0,745,15,1002,158,365
0,141,0,283,0,180
0,730,0,1027,1,90
48,123,0,214,0,1000
0,118,0,343,0,1000
0,114,0,196,0,365
0,248,0,497,0,180
0,116,0,243,0,1000
0,750,0,1027,3,365
0,300,4,518,0,365
0,91,0,207,0,1000
0,485,2,826,2,180
0,138,0,217,0,1000
0,558,0,816,2,90
0,784,0,1056,1,365
0,805,1,1082,1,30
0,123,0,194,0,180
0,52,0,135,0,1000
0,604,0,854,26,365
0,525,2,825,4,365
0,186,9,443,0,90
0,612,0,846,14,365
0,412,1,647,2,365
0,184,19,304,25,180
0,320,1,527,8,180
0,110,0,209,0,365
0,750,2,1022,179,365
0,82,0,163,0,365
0,569,1,837,10,365
0,769,9,1038,203,365
0,139,0,239,0,1000
0,121,0,334,0,180
51,135,0,219,0,1000
0,645,0,947,2,90
0,290,23,519,44,180
112,721,1,1018,1,90
0,535,0,803,2,90
0,386,0,606,1,365
0,517,8,805,3,180
0,473,3,801,2,180
0,584,0,835,27,90
0,615,1,854,14,90
0,264,0,500,17,180
0,795,1,1074,1,30
0,105,1,182,1,1000
0,848,0,1110,2,365
0,180,0,439,0,90
0,560,39,798,5,1000
0,120,0,230,0,1000
0,122,0,214,0,1000
0,572,2,811,11,180
0,159,50,313,43,180
0,166,0,336,0,1000
0,126,0,200,0,90
0,495,0,841,2,180
0,507,1,815,2,180
0,126,0,207,43,365
0,119,0,327,0,180
0,137,0,283,0,180
0,543,8,838,4,365
0,111,0,196,0,365
0,115,0,199,0,365
0,500,0,871,0,180
0,115,0,178,0,365
50,138,0,212,0,1000
0,497,2,842,0,180
0,478,2,830,2,180
0,774,11,1049,230,365
0,453,0,644,1,365
0,593,2,861,2,90
0,290,0,494,14,365
0,132,7,216,56,1000
114,712,1,997,1,90
0,549,8,846,4,365
0,68,0,160,0,180
0,546,20,844,4,365
0,125,0,200,0,1000
0,122,0,210,0,1000
56,149,0,255,0,1000
0,217,3,463,0,30
0,117,0,222,1,365
0,108,0,198,0,365
0,453,2,796,3,180
0,699,9,954,6,365
0,604,1,848,18,90
0,119,2,342,0,365
0,495,2,836,2,180
0,494,0,871,0,180
0,154,0,269,0,1000
0,159,2,330,0,180
0,494,0,753,3,90
0,296,5,502,13,180
0,127,0,224,0,1000
0,117,6,339,0,180
0,113,0,198,1,1000
0,705,7,936,111,365
0,378,0,657,4,14
0,501,0,867,0,180
0,34,0,103,0,1000
0,112,0,198,0,365
0,775,0,1061,1,180
0,281,0,490,0,365
0,98,0,182,1,1000
0,119,0,223,1,180
0,59,0,165,0,1000
0,108,0,228,0,1000
0,493,0,807,3,180
0,106,0,203,0,90
0,416,0,599,3,180
0,747,20,968,243,1000
0,495,2,844,0,180
0,723,0,982,4,90
0,132,0,256,0,1000
8,494,1,706,1,365
0,261,28,492,5,90
0,109,0,204,0,365
0,559,1,811,29,365
0,95,88,209,1,365
0,499,0,810,2,180
0,270,12,498,16,90
0,609,0,867,35,365
0,716,6,990,3,365
0,330,0,510,19,180
0,302,12,516,47,365
0,95,0,177,1,1000
0,697,1,953,6,90
0,145,26,384,0,1000
0,110,0,211,0,365
0,127,87,202,49,1000
0,107,0,206,0,365
0,753,34,965,256,90
0,128,0,185,0,365
0,688,2,962,8,365
0,251,0,507,8,90
0,126,0,219,1,90
0,645,18,891,108,90
0,265,0,501,17,180
0,265,0,542,144,180
0,754,1,1029,2,365
0,271,12,483,1,1000
0,129,0,329,0,180
0,574,16,824,24,180
0,481,0,730,29,365
0,599,38,825,50,180
0,104,0,232,0,1000
0,810,0,1077,1,30
0,601,0,830,48,180
0,481,0,699,1,180
0,134,0,216,0,1000
0,574,2,840,11,365
0,497,2,844,0,180
0,34,0,85,0,1000
28,115,0,204,0,1000
0,675,0,913,83,365
0,161,0,277,0,1000
0,159,2,323,0,1000
0,774,0,1046,229,365
0,114,0,178,0,365
0,121,0,194,0,1000
0,525,1,828,4,365
0,96,0,174,0,1000
0,112,0,198,0,1000
0,122,0,207,0,1000
0,284,0,495,0,90
0,702,15,941,119,365
0,410,0,584,21,1000
0,68,0,162,0,180
0,462,2,807,3,180
0,139,0,210,0,1000
8,36,0,110,0,1000
0,116,13,221,31,365
0,296,1,549,62,180
0,163,2,338,0,180
0,376,0,618,6,180
0,393,1,702,7,90
0,85,0,150,0,1000
0,492,0,835,2,180
0,706,1,1000,3,30
0,496,0,835,3,90
0,111,0,192,0,365
14,325,1,536,0,90
0,249,0,504,0,180
0,133,0,214,0,1000
0,669,1,972,1,90
0,478,0,833,2,180
0,627,0,885,13,1000
0,152,0,258,0,1000
0,128,0,250,0,1000
0,168,0,336,0,180
0,88,1,186,3,180
0,134,0,295,0,365
0,123,0,195,0,90
0,504,2,821,4,90
0,496,0,829,3,90
0,554,0,801,28,90
0,790,0,1074,1,30
0,290,0,493,14,180
0,295,3,498,13,180
0,434,1,739,7,90
0,114,0,224,0,1000
0,124,0,213,0,1000
0,344,1,571,6,180
89,120,0,219,0,1000
0,87,0,175,0,1000
0,727,1,1026,1,90
0,100,0,166,1,1000
0,112,0,238,0,1000
