@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
1429,998,365
1380,1035,365
0,359,1000
1092,788,1000
0,522,1000
771,820,90
1566,1185,1000
772,662,365
658,563,1000
512,490,1000
1094,743,14
1010,678,365
1438,1019,1000
1326,764,365
0,612,365
0,226,1000
632,682,1000
1444,763,1000
0,616,180
0,547,180
0,615,365
672,569,90
1198,736,1000
0,267,1000
1132,944,1000
716,527,365
766,833,14
883,720,1000
774,847,90
0,635,1000
1308,1063,180
638,443,180
1034,732,1000
0,337,90
1302,775,180
1412,1040,90
1230,981,90
0,558,365
638,739,90
1396,1125,180
1104,683,90
0,426,90
1118,728,1000
897,839,180
942,787,180
970,708,1000
972,889,1000
622,597,1000
1280,749,1000
1431,1001,90
0,446,30
956,769,180
488,457,1000
0,297,1000
574,590,1000
1110,945,180
1242,812,180
0,353,1000
0,563,365
1372,1108,1000
650,565,90
0,252,1000
992,894,180
0,259,1000
1326,1093,90
1480,780,1000
0,563,1000
1338,1099,1000
1000,901,90
1379,921,1000
1286,751,180
1365,920,1000
1243,918,90
0,279,1000
1522,807,14
1236,892,365
0,125,1000
692,661,365
0,361,1000
1470,948,180
1038,881,1000
0,520,1000
1296,799,1000
